"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45860",17,"Pipra","GEN",172496,"ANKUSH KUMAR SINGH","Rashtravadi Janata Party",1398,15,0.0081045357573509
"45947",24,"Bathnaha","SC",152233,"SUBODH RAM","Rashtravadi Janata Party",3099,5,0.0203569528288873
"45965",25,"Parihar","GEN",163042,"GOPAL KUMAR","Rashtravadi Janata Party",1393,10,0.0085438107972179
"46040",29,"Runnisaidpur","GEN",137464,"KIRAN PASWAN","Rashtravadi Janata Party",820,12,0.00596519816097305
"46248",43,"Supaul","GEN",150466,"BHOGI MANDAL","Rashtravadi Janata Party",1917,7,0.0127404197626042
"46286",46,"Narpatganj","GEN",175843,"NAVI HASSAN","Rashtravadi Janata Party",836,13,0.00475424099907304
"46541",62,"Purnia","GEN",186786,"SUMITRA DEVI MANDAL","Rashtravadi Janata Party",1257,13,0.00672962641739745
"46632",66,"Pranpur","GEN",179444,"SURESH RAY","Rashtravadi Janata Party",1110,18,0.00618577383473396
"46790",76,"Simri Bakhtiarpur","GEN",165233,"SRI KANT PODDAR","Rashtravadi Janata Party",838,15,0.00507162612795265
"47045",93,"Kurhani","GEN",173007,"POOJA KUMARI","Rashtravadi Janata Party",1358,13,0.00784939337714659
"47106",95,"Kanti","GEN",179468,"LADDAN KHAN","Rashtravadi Janata Party",452,22,0.00251855483986003
"47129",97,"Paroo","GEN",166855,"SANJAY KUMAR SINGH","Rashtravadi Janata Party",748,10,0.00448293428425879
"47518",124,"Lalganj","GEN",176082,"RAJEEV KUMAR CHOUDHARY","Rashtravadi Janata Party",1660,8,0.00942742585840688
"47626",129,"Mahnar","GEN",148186,"MALAYAM KUMAR MANGALAM","Rashtravadi Janata Party",1271,13,0.00857705856153753
"47779",138,"Bibhutipur","GEN",145578,"SANJEEV KUMAR","Rashtravadi Janata Party",3559,5,0.0244473752902224
"47788",139,"Rosera","SC",162578,"SURENDRA DAS","Rashtravadi Janata Party",2355,5,0.0144853547220411
"47800",140,"Hasanpur","GEN",146742,"JITENDRA KUMAR YADAV","Rashtravadi Janata Party",4850,6,0.0330512055171662
"47811",141,"Cheria Bariarpur","GEN",138565,"RAJ KISHOR YADAV","Rashtravadi Janata Party",3168,5,0.0228629163208602
"47916",150,"Beldaur","GEN",167215,"BINOD YADAV","Rashtravadi Janata Party",2305,11,0.0137846485064139
