"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45702",5,"Lauriya","GEN",141706,"RAN KAUSHAL PRATAP SINGH","Rashtriya Janata Dal",39778,2,0.280707944617730
"45771",10,"Raxaul","GEN",162582,"SURESH KUMAR","Rashtriya Janata Dal",61562,2,0.378652003296798
"45782",11,"Sugauli","GEN",155495,"OM PRAKASH CHOUDHARY","Rashtriya Janata Dal",54628,2,0.351316762596868
"45796",12,"Narkatia","GEN",163447,"SHAMIM AHMAD","Rashtriya Janata Dal",75118,1,0.459586287909842
"45809",13,"Harsidhi","SC",150784,"RAJENDRA KUMAR","Rashtriya Janata Dal",75203,1,0.498746551358234
"45827",15,"Kesaria","GEN",132290,"DR. RAJESH KUMAR","Rashtriya Janata Dal",62902,1,0.475485675410084
"45878",19,"Motihari","GEN",168493,"BINOD KUMAR SHRIVASTAVA","Rashtriya Janata Dal",61430,2,0.364584878897046
"45889",20,"Chiraia","GEN",148082,"LAXMI NARAYAN PRASAD YADAV","Rashtriya Janata Dal",58457,2,0.394761010791318
"45901",21,"Dhaka","GEN",186214,"FAISAL RAHMAN","Rashtriya Janata Dal",87458,1,0.469663935042478
"45957",25,"Parihar","GEN",163042,"RAM CHANDRA PURVE","Rashtriya Janata Dal",62371,2,0.382545601746789
"45971",26,"Sursand","GEN",156718,"SYED ABU DOJANA","Rashtriya Janata Dal",52857,1,0.337274595132659
"46013",28,"Sitamarhi","GEN",164358,"SUNIL KUMAR","Rashtriya Janata Dal",81557,1,0.496215578189075
"46029",29,"Runnisaidpur","GEN",137464,"MANGITA DEVI","Rashtriya Janata Dal",55699,1,0.405189722400047
"46098",33,"Khajauli","GEN",164227,"SITARAM YADAV","Rashtriya Janata Dal",71534,1,0.435580020337703
"46128",35,"Bisfi","GEN",159971,"FAIYAZ AHMAD","Rashtriya Janata Dal",70975,1,0.443674165942577
"46145",36,"Madhubani","GEN",169692,"SAMIR KUMAR MAHASETH","Rashtriya Janata Dal",76823,1,0.452720222520802
"46159",37,"Rajnagar","SC",154905,"RAMAWATAR PASWAN","Rashtriya Janata Dal",65372,2,0.422013492140344
"46170",38,"Jhanjharpur","GEN",157914,"GULAB YADAV","Rashtriya Janata Dal",64320,1,0.407310308142407
"46232",42,"Pipra(Supaul)","GEN",159132,"YADUBANSH KUMAR YADAV","Rashtriya Janata Dal",85944,1,0.540079933639997
"46263",45,"Chhatapur","GEN",173177,"JAHUR ALAM","Rashtriya Janata Dal",66405,2,0.383451613089498
"46274",46,"Narpatganj","GEN",175843,"ANIL KUMAR YADAV","Rashtriya Janata Dal",90250,1,0.513241926036294
"46302",48,"Forbesganj","GEN",185936,"KRITYANAND BISWAS","Rashtriya Janata Dal",60691,2,0.326408011358747
"46434",57,"Baisi","GEN",161320,"ABDUS SUBHAN","Rashtriya Janata Dal",67022,1,0.415459955368212
"46464",59,"Banmankhi","SC",164850,"SANJIV KUMAR PASWAN","Rashtriya Janata Dal",58345,2,0.353927813163482
"46658",68,"Barari","GEN",164998,"NEERAJ KUMAR","Rashtriya Janata Dal",71175,1,0.431368865077152
"46733",73,"Madhepura","GEN",183722,"CHANDRA SHEKHAR","Rashtriya Janata Dal",90974,1,0.49517205342855
"46761",75,"Saharsa","GEN",193947,"ARUN KUMAR","Rashtriya Janata Dal",102850,1,0.530299514815903
"46791",77,"Mahishi","GEN",145580,"DR. ABDUL GHAFOOR","Rashtriya Janata Dal",56436,1,0.387663140541283
"46847",81,"Alinagar","GEN",139698,"ABDUL BARI SIDDIQUI","Rashtriya Janata Dal",67461,1,0.482905982905983
"46859",82,"Darbhanga Rural","GEN",137328,"LALIT KUMAR YADAV","Rashtriya Janata Dal",70557,1,0.51378451590353
"46873",83,"Darbhanga","GEN",163187,"OM PRAKASH KHERIA","Rashtriya Janata Dal",70316,2,0.430892166655432
"46903",85,"Bahadurpur","GEN",155714,"BHOLA YADAV","Rashtriya Janata Dal",71547,1,0.459476989866036
"46919",86,"Keoti","GEN",145527,"FARAZ FATMI","Rashtriya Janata Dal",68601,1,0.471397060339318
"46947",88,"Gaighat","GEN",164965,"MAHESHWAR PRASAD YADAV","Rashtriya Janata Dal",67313,1,0.408044130573152
"46969",89,"Aurai","GEN",154133,"SURENDRA KUMAR","Rashtriya Janata Dal",66958,1,0.434417029448593
"46985",90,"Minapur","GEN",162872,"RAJEEV KUMAR URF MUNNA YADAV","Rashtriya Janata Dal",80790,1,0.496033695171669
"47018",92,"Sakra","SC",156519,"LAL BABU RAM","Rashtriya Janata Dal",75010,1,0.479238942237045
"47087",95,"Kanti","GEN",179468,"MD. PARWEZ ALAM","Rashtriya Janata Dal",47050,3,0.262163728352687
"47107",96,"Baruraj","GEN",155924,"NAND KUMAR RAI","Rashtriya Janata Dal",68011,1,0.43618044688438
"47121",97,"Paroo","GEN",166855,"SHANKAR PRASAD","Rashtriya Janata Dal",66906,2,0.400982889335051
"47134",98,"Sahebganj","GEN",161699,"RAMVICHAR RAI","Rashtriya Janata Dal",70583,1,0.436508574573745
"47164",100,"Barauli","GEN",152510,"MD NEMATULLAH","Rashtriya Janata Dal",61690,1,0.40449806570061
"47183",101,"Gopalganj","GEN",172533,"REYAJUL HAQUE ALIAS "" RAJU""","Rashtriya Janata Dal",73417,2,0.42552439243507
"47272",107,"Darauli","SC",147762,"PARMATMA RAM","Rashtriya Janata Dal",37345,3,0.252737510320651
"47279",108,"Raghunathpur","GEN",145413,"HARISHANKAR YADAV","Rashtriya Janata Dal",61042,1,0.419783650705233
"47323",111,"Goriakothi","GEN",166010,"SATYADEO PRASAD SINGH","Rashtriya Janata Dal",70965,1,0.427474248539245
"47386",115,"Baniapur","GEN",152266,"KEDAR NATH SINGH","Rashtriya Janata Dal",69851,1,0.458743251940683
