"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45710",5,"Lauriya","GEN",141706,"UMESH YADAV","Rashtriya Jankranti Party",1140,10,0.00804482520147347
"45728",6,"Nautan","GEN",150379,"HAMID ALI","Rashtriya Jankranti Party",660,16,0.00438891068566755
"45752",8,"Bettiah","GEN",147563,"SHRIKANTI DEVI","Rashtriya Jankranti Party",590,13,0.00399829225483353
"45788",11,"Sugauli","GEN",155495,"MD. HASNAIN 'AZAD'","Rashtriya Jankranti Party",1239,8,0.00796810186822727
"46126",34,"Babubarhi","GEN",163234,"DILIP KUMAR JHA","Rashtriya Jankranti Party",1328,13,0.00813555999362878
"46325",49,"Araria","GEN",175608,"BHUMANAND RISHI","Rashtriya Jankranti Party",655,12,0.00372989841009521
"46371",52,"Bahadurganj","GEN",159520,"HIRA NAND MANDAL","Rashtriya Jankranti Party",826,16,0.00517803410230692
"46479",59,"Banmankhi","SC",164850,"NEPOLIAN RAM","Rashtriya Jankranti Party",934,17,0.0056657567485593
"46497",60,"Rupauli","GEN",181130,"MANOJ KR.  ROY","Rashtriya Jankranti Party",1531,16,0.00845249268481201
"46518",61,"Dhamdaha","GEN",188439,"SUNIL RAY","Rashtriya Jankranti Party",1764,16,0.00936111951347651
"46928",86,"Keoti","GEN",145527,"MEERA KUMARI JHA","Rashtriya Jankranti Party",890,10,0.00611570361513671
"47507",123,"Hajipur","GEN",178454,"RAVINDRA KUMAR","Rashtriya Jankranti Party",425,14,0.00238156611787912
"47631",129,"Mahnar","GEN",148186,"ARVIND KUMAR","Rashtriya Jankranti Party",800,18,0.00539862065242331
"47652",130,"Patepur","SC",146608,"PRAMESH KUMAR","Rashtriya Jankranti Party",627,14,0.00427671068427371
"47690",132,"Warisnagar","GEN",169594,"ARMAN AHMAD","Rashtriya Jankranti Party",882,15,0.00520065568357371
