"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45646",1,"Valmiki Nagar","GEN",184834,"SURENDRA PRASAD","Rashtriya Lok Samta Party",32855,3,0.177754092861703
"45797",12,"Narkatia","GEN",163447,"SANT SINGH KUSHWAHA","Rashtriya Lok Samta Party",55136,2,0.337332590992799
"45991",27,"Bajpatti","GEN",155282,"REKHA KUMARI","Rashtriya Lok Samta Party",50248,2,0.323591916641980
"46030",29,"Runnisaidpur","GEN",137464,"PANKAJ KUMAR MISHRA","Rashtriya Lok Samta Party",41589,2,0.302544666239888
"46063",31,"Harlakhi","GEN",144866,"BASANT KUMAR","Rashtriya Lok Samta Party",40468,1,0.279347811080585
"46129",35,"Bisfi","GEN",159971,"MANOJ KUMAR YADAV (BHOJ PANDAUL)","Rashtriya Lok Samta Party",35650,2,0.222852892086691
"46438",57,"Baisi","GEN",161320,"AZIZUR RAHMAN","Rashtriya Lok Samta Party",9573,5,0.059341681130672
"46504",61,"Dhamdaha","GEN",188439,"SHIV SHANKAR THAKUR ALLIAS SHANKAR AZAD","Rashtriya Lok Samta Party",45583,2,0.241897908607029
"46792",77,"Mahishi","GEN",145580,"CHANDAN KUMAR SAH","Rashtriya Lok Samta Party",30301,2,0.208139854375601
"47711",134,"Ujiarpur","GEN",163614,"KUMAR ANANT","Rashtriya Lok Samta Party",38006,2,0.23229063527571
"47796",140,"Hasanpur","GEN",146742,"VINOD CHOUDHARY","Rashtriya Lok Samta Party",33494,2,0.228250943833395
"48002",157,"Sultanganj","GEN",154726,"HIMANSHU PRASAD","Rashtriya Lok Samta Party",49312,2,0.318705324250611
"48044",160,"Dhauraiya","SC",155039,"BHUDEO CHOUDHARY","Rashtriya Lok Samta Party",44704,2,0.288340353072453
"48174",170,"Barbigha","GEN",111376,"SHEO KUMAR","Rashtriya Lok Samta Party",30689,2,0.275544102858785
"48627",197,"Jagdishpur","GEN",144930,"RAKESH RAUSHAN","Rashtriya Lok Samta Party",38825,2,0.267887945904920
"48709",201,"Dumraon","GEN",169254,"RAM BIHARI SINGH","Rashtriya Lok Samta Party",50742,2,0.299797936828672
"48806",207,"Chenari","SC",151067,"LALAN PASWAN","Rashtriya Lok Samta Party",68148,1,0.451111096400935
"48835",209,"Kargahar","GEN",177750,"BIRENDRA  KUMAR SINGH","Rashtriya Lok Samta Party",44111,2,0.248163150492264
"48888",212,"Dehri","GEN",145655,"JITENDRA KUMAR @ RINKU SONI","Rashtriya Lok Samta Party",45504,2,0.312409460711956
"48929",215,"Kurtha","GEN",115570,"ASHOK KUMAR VERMA","Rashtriya Lok Samta Party",29557,2,0.255749762048975
"48952",216,"Jahanabad","GEN",150314,"PRAVEEN KUMAR","Rashtriya Lok Samta Party",46137,2,0.306937477547002
"49010",220,"Obra","GEN",160747,"CHANDRA BHUSHAN VERMA","Rashtriya Lok Samta Party",44646,2,0.277740797650967
"49253",237,"Nawada","GEN",176056,"INDRADEO PRASAD","Rashtriya Lok Samta Party",71509,2,0.406171899850048
