"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45769",9,"Sikta","GEN",160709,"IRSHAD SHEKH","Rashtriya Samanta Dal",320,13,0.00199117659869702
"46184",38,"Jhanjharpur","GEN",157914,"MUSTAFA KAMAL","Rashtriya Samanta Dal",435,15,0.00275466393100042
"47017",91,"Bochaha","SC",166492,"PRAMOD KUMAR PANKAJ","Rashtriya Samanta Dal",952,16,0.00571799245609399
"47028",92,"Sakra","SC",156519,"RAGHUNATH RAM","Rashtriya Samanta Dal",592,11,0.00378228841226944
"47059",93,"Kurhani","GEN",173007,"DINA NATH PRASAD SINGH","Rashtriya Samanta Dal",512,27,0.00295941782702434
"47081",94,"Muzaffarpur","GEN",173389,"RAVI RANJAN","Rashtriya Samanta Dal",237,18,0.00136686871716199
"47100",95,"Kanti","GEN",179468,"MD. HASEEB","Rashtriya Samanta Dal",849,16,0.00473064836071054
"47119",96,"Baruraj","GEN",155924,"KRISHNA RAY","Rashtriya Samanta Dal",485,13,0.00311048972576383
"47268",106,"Ziradei","GEN",135904,"RAMJEE BHAI","Rashtriya Samanta Dal",374,16,0.00275194254768072
"47306",109,"Daraundha","GEN",151722,"SYED IQBAL HUSSAIN","Rashtriya Samanta Dal",446,15,0.00293958687599689
"47613",128,"Raghopur","GEN",185628,"YUGESHWAR CHAURASIA","Rashtriya Samanta Dal",285,21,0.00153532872196005
"48094",164,"Tarapur","GEN",152249,"VIJAY KUMAR SINGH","Rashtriya Samanta Dal",2371,9,0.0155731728944032
"48372",181,"Digha","GEN",182656,"ASHRAF","Rashtriya Samanta Dal",242,29,0.00132489488437281
"48448",184,"Patna Sahib","GEN",187903,"IRSHAD HUSSAIN","Rashtriya Samanta Dal",278,16,0.00147948675646477
"48558",191,"Bikram","GEN",172838,"VAJRANG PRATAP KESHRI","Rashtriya Samanta Dal",950,13,0.00549647646929495
"48832",208,"Sasaram","GEN",174030,"PARMANAND SINGH KUSHWAHA","Rashtriya Samanta Dal",610,14,0.00350514279147273
