"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"47092",95,"Kanti","GEN",179468,"LAL BABU ROY","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1850,8,0.0103082443666838
"47127",97,"Paroo","GEN",166855,"NANHAK SAH","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1132,8,0.0067843337029157
"47539",125,"Vaishali","GEN",166498,"SIGESHWAR BHAGAT","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1663,11,0.00998810796526084
"47558",126,"Mahua","GEN",154435,"LALIT KUMAR GHOSH","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1351,13,0.00874801696506621
"48026",158,"Nathnagar","GEN",169762,"DEEPAK KUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",983,13,0.0057904595845949
"48085",163,"Belhar","GEN",157781,"ARJUN PAL","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",978,12,0.00619846496092685
"48097",164,"Tarapur","GEN",152249,"KRISHNADEO SAH","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",1278,12,0.00839414380390019
"48127",166,"Jamalpur","GEN",147258,"PRAMOD KUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",899,13,0.0061049314808024
"48472",186,"Danapur","GEN",166986,"NATASHA SHARMA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",903,9,0.00540763896374546
"48947",215,"Kurtha","GEN",115570,"RUPESH KUMAR","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",584,20,0.0050532145020334
