"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45647",1,"Valmiki Nagar","GEN",184834,"RAJESH SINGH","Samajwadi Party",11472,4,0.0620665029161301
"45675",3,"Narkatiaganj","GEN",153571,"UMESH YADAW","Samajwadi Party",1359,8,0.00884932702137773
"45699",4,"Bagaha","GEN",167561,"MAJISTER YADAV","Samajwadi Party",486,15,0.00290043625903402
"45723",6,"Nautan","GEN",150379,"SANJAY KUMAR KUSHWAHA","Samajwadi Party",1384,11,0.00920341271055134
"45736",7,"Chanpatia","GEN",157027,"MUKTI NATH UPADHYAYA","Samajwadi Party",2523,8,0.0160673005279347
"45748",8,"Bettiah","GEN",147563,"SHAMBHU PRASAD GUPTA","Samajwadi Party",1237,9,0.00838286020208318
"45767",9,"Sikta","GEN",160709,"DHARMESH PRASAD VARMA","Samajwadi Party",693,11,0.00431214182155324
"45774",10,"Raxaul","GEN",162582,"KAPILDEV RAY","Samajwadi Party",3073,5,0.0189012313786274
"45804",12,"Narkatia","GEN",163447,"MADAN PRASAD YADAV","Samajwadi Party",968,9,0.00592240909897398
"45833",15,"Kesaria","GEN",132290,"ATIQUE AHMAD KHAN","Samajwadi Party",1838,7,0.0138937183460579
"45837",16,"Kalyanpur","GEN",135523,"MANOJ KUMAR YADAV","Samajwadi Party",26430,3,0.195022247146241
"45857",17,"Pipra","GEN",172496,"BHAGYA NARAYAN PRASAD YADAV","Samajwadi Party",1560,12,0.0090436879695761
"45875",18,"Madhuban","GEN",138934,"AMJAD KAMAL","Samajwadi Party",573,12,0.00412426044020902
"45890",20,"Chiraia","GEN",148082,"AVANEESH KUMAR SINGH","Samajwadi Party",12172,3,0.0821977012736187
"45915",22,"Sheohar","GEN",150049,"AJIT KUMAR JHA","Samajwadi Party",15891,4,0.105905404234617
"45936",23,"Riga","GEN",161768,"TAJUDDIN HAIDAR KHAN","Samajwadi Party",974,13,0.00602096830028189
"45951",24,"Bathnaha","SC",152233,"RAMCHANDRA PASWAN","Samajwadi Party",1131,9,0.00742940098401792
"45961",25,"Parihar","GEN",163042,"MOHD. SHAMS SHAHNAWAZ","Samajwadi Party",2822,6,0.0173084235963739
"45984",26,"Sursand","GEN",156718,"MANOJ PURWE","Samajwadi Party",1481,14,0.00945009507523067
"46011",27,"Bajpatti","GEN",155282,"MD ASHFAQUE","Samajwadi Party",392,22,0.00252443940701434
"46024",28,"Sitamarhi","GEN",164358,"RAM KISHORE RAI","Samajwadi Party",550,12,0.00334635369133234
