"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"46945",87,"Jale","GEN",148843,"AMAN KUMAR JHA","Samras Samaj Party",823,13,0.00552931612504451
"47130",97,"Paroo","GEN",166855,"PRAKASH KUMAR","Samras Samaj Party",650,11,0.00389559797428905
"47321",110,"Barharia","GEN",155404,"MD. AZAZUL HAQUE","Samras Samaj Party",1039,15,0.00668579959331806
"47394",115,"Baniapur","GEN",152266,"SANJEEV KUMAR MISHRA","Samras Samaj Party",1082,9,0.0071059855778703
"47489",122,"Sonepur","GEN",156884,"AMOD KUMAR SINGH","Samras Samaj Party",891,10,0.00567935544733689
"47737",135,"Morwa","GEN",138520,"SUCHITRA SINHA","Samras Samaj Party",1138,14,0.00821542015593416
"47817",141,"Cheria Bariarpur","GEN",138565,"RAM SEWAK MAHTO","Samras Samaj Party",1153,11,0.00832100458268683
"48042",159,"Amarpur","GEN",153930,"MITHILESH KUMAR SINGH","Samras Samaj Party",277,15,0.00179951926200221
"48082",163,"Belhar","GEN",157781,"LAKHAN LAL DEO","Samras Samaj Party",1422,9,0.00901249199840285
"48229",173,"Rajgir","SC",148513,"MAMTA KUMARI","Samras Samaj Party",445,18,0.00299637068808791
"48347",181,"Digha","GEN",182656,"RAJEEV RANJAN SINGH -ALIAS- PINTU SINGH","Samras Samaj Party",2597,4,0.0142179835318851
"48504",188,"Phulwari","SC",189057,"RAM TIRTH PASWAN","Samras Samaj Party",2011,13,0.0106370036549824
"48552",191,"Bikram","GEN",172838,"NAGENDRA KUMAR","Samras Samaj Party",2229,7,0.0128964695263773
"48597",194,"Arrah","GEN",155787,"PRIYA RANJAN PRASAD SRIVASTAVA","Samras Samaj Party",1175,7,0.0075423494900088
"48657",198,"Shahpur","GEN",145144,"LAL BAHADUR MAHATO","Samras Samaj Party",1310,9,0.00902551948409855
"48692",200,"Buxar","GEN",160594,"BABAN SINGH","Samras Samaj Party",598,15,0.00372367585339427
"48884",211,"Nokha","GEN",140995,"JAY PRAKASH SINGH","Samras Samaj Party",352,14,0.00249654243058264
"48938",215,"Kurtha","GEN",115570,"NAGMANI","Samras Samaj Party",1187,11,0.0102708315306741
"48981",218,"Makhadumapur","SC",130243,"KUSUM DEVI","Samras Samaj Party",1375,9,0.0105571892539330
"49005",219,"Goh","GEN",152977,"JIMEDAR SINGH","Samras Samaj Party",572,19,0.00373912418206659
"49021",220,"Obra","GEN",160747,"RAJEEV KUMAR","Samras Samaj Party",1004,13,0.00624583973573379
"49103",225,"Gurua","GEN",143557,"RAM PRAKASH SINGH 'CHUMAN'","Samras Samaj Party",2650,9,0.0184595665833084
"49135",228,"Barachatti","SC",156134,"RAMOTAR MANJHI","Samras Samaj Party",2627,7,0.0168252910961098
"49289",240,"Sikandra","SC",138531,"RAVISHANKAR PASWAN","Samras Samaj Party",3350,7,0.0241823129840974
