"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45654",1,"Valmiki Nagar","GEN",184834,"MAHANTH CHAUDHARY","Sarvajan Kalyan Loktantrik Party",1973,11,0.0106744430137312
"45712",5,"Lauriya","GEN",141706,"RAJU RAM","Sarvajan Kalyan Loktantrik Party",953,12,0.00672519159386335
"45755",8,"Bettiah","GEN",147563,"ARUN KUMAR SRIVASTAVA","Sarvajan Kalyan Loktantrik Party",312,16,0.00211435115848824
"45817",13,"Harsidhi","SC",150784,"ABHISHEK PRAKASH","Sarvajan Kalyan Loktantrik Party",447,9,0.00296450551782682
"45844",16,"Kalyanpur","GEN",135523,"BRAJESH OJHA","Sarvajan Kalyan Loktantrik Party",1393,10,0.0102786980807686
"45856",17,"Pipra","GEN",172496,"RAMADHAR SAH","Sarvajan Kalyan Loktantrik Party",1613,11,0.00935094147110658
"45886",19,"Motihari","GEN",168493,"BIKRAMA SINGH","Sarvajan Kalyan Loktantrik Party",976,10,0.00579252550551061
"45900",20,"Chiraia","GEN",148082,"VISHAL SINHA","Sarvajan Kalyan Loktantrik Party",486,13,0.00328196539755001
"45952",24,"Bathnaha","SC",152233,"BHOLA RAM","Sarvajan Kalyan Loktantrik Party",877,10,0.00576090597964962
"46025",28,"Sitamarhi","GEN",164358,"UMESH KUMAR SINGH","Sarvajan Kalyan Loktantrik Party",487,13,0.00296304408668881
"46051",30,"Belsand","GEN",122466,"RAM SAKAL SAHANI","Sarvajan Kalyan Loktantrik Party",3343,8,0.0272973723319125
"46074",31,"Harlakhi","GEN",144866,"BHAGIRATH JHA","Sarvajan Kalyan Loktantrik Party",1210,12,0.00835254649124018
"46272",45,"Chhatapur","GEN",173177,"RAMSUNDAR MUKHIYA","Sarvajan Kalyan Loktantrik Party",1568,11,0.00905432014643977
"46460",58,"Kasba","GEN",182478,"MD. SHAHID","Sarvajan Kalyan Loktantrik Party",339,14,0.0018577581955085
"46478",59,"Banmankhi","SC",164850,"BIRNDRA RAJAK","Sarvajan Kalyan Loktantrik Party",941,16,0.00570821959356991
"46499",60,"Rupauli","GEN",181130,"ROSHAN KUMAR RAVI","Sarvajan Kalyan Loktantrik Party",1159,18,0.00639871915199028
"46515",61,"Dhamdaha","GEN",188439,"SUDAMA KUMAR","Sarvajan Kalyan Loktantrik Party",2242,13,0.0118977494043165
"46547",62,"Purnia","GEN",186786,"AKHILESH VERMA","Sarvajan Kalyan Loktantrik Party",744,19,0.00398316790337606
"46583",64,"Kadwa","GEN",158361,"DINESH INSAN","Sarvajan Kalyan Loktantrik Party",2439,6,0.0154015193134673
"46633",66,"Pranpur","GEN",179444,"GANGA KEWAT","Sarvajan Kalyan Loktantrik Party",1050,19,0.00585140768150509
"46749",73,"Madhepura","GEN",183722,"KAMAL KUMAR","Sarvajan Kalyan Loktantrik Party",1072,17,0.00583490273347775
"46769",75,"Saharsa","GEN",193947,"MADHAV PRASAD MUKHIYA","Sarvajan Kalyan Loktantrik Party",938,9,0.00483637282350333
