"","AC_no","AC_name","AC_type","Voters","Cand1","Party1","Votes1","Position","Vote_percent"
"45655",1,"Valmiki Nagar","GEN",184834,"DHANANJAY PANDEY","Shivsena",1826,12,0.00987913479121807
"45674",3,"Narkatiaganj","GEN",153571,"PREM NARAYAN OJHA","Shivsena",1431,7,0.00931816553906662
"45694",4,"Bagaha","GEN",167561,"ARUN KUMAR PATHAK","Shivsena",1031,10,0.00615298309272444
"45711",5,"Lauriya","GEN",141706,"AJAY KUMAR THAKUR","Shivsena",1126,11,0.00794602910250801
"45721",6,"Nautan","GEN",150379,"NAWAL KISHOR PATHAK","Shivsena",2231,9,0.0148358480904914
"45747",8,"Bettiah","GEN",147563,"RAMESH CHANDRA SINHA","Shivsena",1348,8,0.00913508128731457
"45821",14,"Govindganj","GEN",136927,"GANESHWAR TIWARI","Shivsena",3058,4,0.0223330679851308
"45872",18,"Madhuban","GEN",138934,"SHASHI RANJAN KUMAR","Shivsena",1658,9,0.0119337239264687
"46005",27,"Bajpatti","GEN",155282,"KUNDAN KUMAR SINGH","Shivsena",667,16,0.00429541092979225
"46037",29,"Runnisaidpur","GEN",137464,"MRIGENDRA KUMAR","Shivsena",999,9,0.00726735727172205
"46071",31,"Harlakhi","GEN",144866,"RAJNISH RAM","Shivsena",1608,9,0.0110999130230696
"46137",35,"Bisfi","GEN",159971,"ALPANA KUMARI","Shivsena",1375,10,0.0085953078995568
"46204",40,"Laukaha","GEN",183235,"MANOJ KUMAR 'BIHARI'","Shivsena",14455,3,0.0788877670750675
"46230",41,"Nirmali","GEN",167436,"ARJUN MANDAL","Shivsena",610,14,0.0036431830669629
"46267",45,"Chhatapur","GEN",173177,"DEEPAK KUMAR SAH","Shivsena",3200,6,0.0184782043804893
"46283",46,"Narpatganj","GEN",175843,"ASHOK KUMAR BHAGAT","Shivsena",996,10,0.00566414358262768
"46294",47,"Raniganj","SC",161402,"RAMANAND RISHIDEV AT- KAJARA","Shivsena",1067,8,0.00661082266638579
"46374",52,"Bahadurganj","GEN",159520,"GOTAM GIRI","Shivsena",419,19,0.00262662988966901
"46419",55,"Kochadhaman","GEN",141890,"PRADIP KUMAR SINGH","Shivsena",763,13,0.00537740503206709
"46422",56,"Amour","GEN",169250,"ANIMA DAS","Shivsena",4393,3,0.0259556868537666
"46456",58,"Kasba","GEN",182478,"BAMBAM SAH","Shivsena",1122,10,0.00614868641699273
