Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,ANDAMAN & NICOBAR ISLANDS,213,ANDAMAN & NICOBAR ISLANDS,GEN,1,BISHNU PADA RAY,BJP,48
Lok Sabha,2014,ANDHRA PRADESH,433,KARIMNAGAR,GEN,3,CHENNAMANENI VIDYA SAGAR RAO,BJP,19
Lok Sabha,2014,ANDHRA PRADESH,436,NIZAMABAD,GEN,3,ENDALA LAKSHMINARAYANA,BJP,22
Lok Sabha,2014,ANDHRA PRADESH,422,MEDAK,GEN,3,NARENDRANATH CHAGANLA,BJP,15
Lok Sabha,2014,ANDHRA PRADESH,407,SECUNDERABAD,GEN,1,BANDARU DATTATREYA,BJP,44
Lok Sabha,2014,ANDHRA PRADESH,406,HYDERABAD,GEN,2,DR.BHAGAVANTH RAO,BJP,32
Lok Sabha,2014,ANDHRA PRADESH,402,MAHBUBNAGAR,GEN,3,DR. JANARDHAN REDDY NAGAM,BJP,27
Lok Sabha,2014,ANDHRA PRADESH,418,BHONGIR,GEN,3,N. INDRASENA REDDY,BJP,15
Lok Sabha,2014,ANDHRA PRADESH,424,WARANGAL,SC,3,PARAMESHWAR RAMAGALLA,BJP,16
Lok Sabha,2014,ANDHRA PRADESH,420,VISAKHAPATNAM,GEN,1,DR. KAMBHAMPATI HARI BABU,BJP,49
Lok Sabha,2014,ANDHRA PRADESH,397,NARSAPURAM,GEN,1,GOKARAJU GANGA RAJU,BJP,50
Lok Sabha,2014,ANDHRA PRADESH,371,TIRUPATI,SC,2,JAYARAM KARUMANCHI,BJP,45
Lok Sabha,2014,ANDHRA PRADESH,370,RAJAMPET,GEN,2,DAGGUBATI PURANDESWARI,BJP,37
Lok Sabha,2014,ARUNACHAL PRADESH,779,ARUNACHAL WEST,GEN,1,KIREN RIJIJU,BJP,50
Lok Sabha,2014,ARUNACHAL PRADESH,787,ARUNACHAL EAST,GEN,2,TAPIR GAO,BJP,41
Lok Sabha,2014,ASSAM,602,KARIMGANJ,SC,2,KRISHNA DAS,BJP,29
Lok Sabha,2014,ASSAM,608,SILCHAR,GEN,2,KABINDRA PURKAYASTHA,BJP,38
Lok Sabha,2014,ASSAM,685,AUTONOMOUS DISTRICT,ST,2,JOY RAM ENGLENG,BJP,35
Lok Sabha,2014,ASSAM,670,DHUBRI,GEN,3,DR. DEBOMOY SANYAL,BJP,22
