Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,ANDHRA PRADESH,454,ADILABAD,ST,2,NARESH,INC,25
Lok Sabha,2014,UTTAR PRADESH,736,AGRA,SC,4,UPENDRA SINGH,INC,3
Lok Sabha,2014,GUJARAT,555,AHMEDABAD EAST,GEN,2,PATEL HIMMATSINGH PRAHLADSINGH,INC,31
Lok Sabha,2014,GUJARAT,543,AHMEDABAD WEST,SC,2,MAKWANA ISHWARBAHI DHANABHAI,INC,31
Lok Sabha,2014,RAJASTHAN,707,AJMER,GEN,2,SACHIN PILOT,INC,40
Lok Sabha,2014,UTTAR PRADESH,687,AKBARPUR,GEN,4,RAJARAM PAL,INC,10
Lok Sabha,2014,MAHARASHTRA,483,AKOLA,GEN,2,PATEL HIDAYAT ULLA BARKAT ULLA,INC,26
Lok Sabha,2014,KERALA,309,ALAPPUZHA,GEN,1,K.C. VENUGOPAL,INC,46
Lok Sabha,2014,KERALA,321,ALATHUR,SC,2,SHEEBA K A,INC,40
Lok Sabha,2014,UTTAR PRADESH,754,ALIGARH,GEN,4,BIJENDRA SINGH,INC,6
Lok Sabha,2014,WEST BENGAL,708,ALIPURDUARS,ST,4,JOSEPH MUNDA,INC,10
Lok Sabha,2014,UTTAR PRADESH,628,ALLAHABAD,GEN,4,NAND GOPAL GUPTA NANDI,INC,11
Lok Sabha,2014,UTTARAKHAND,804,ALMORA,SC,2,PRADEEP TAMTA,INC,38
Lok Sabha,2014,RAJASTHAN,755,ALWAR,GEN,2,JITENDRA SINGH,INC,34
Lok Sabha,2014,ANDHRA PRADESH,399,AMALAPURAM,SC,3,AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO,INC,1
Lok Sabha,2014,HARYANA,806,AMBALA,SC,2,RAJ KUMAR,INC,22
Lok Sabha,2014,UTTAR PRADESH,693,AMBEDKAR NAGAR,GEN,4,ASHOK SINGH,INC,2
Lok Sabha,2014,UTTAR PRADESH,690,AMETHI,GEN,1,RAHUL GANDHI,INC,47
Lok Sabha,2014,GUJARAT,503,AMRELI,GEN,2,THUMMAR VIRJIBHAI KESHAVBHAI,INC,35
Lok Sabha,2014,PUNJAB,817,AMRITSAR,GEN,1,CAPTAIN AMARINDER SINGH,INC,48
Lok Sabha,2014,ANDHRA PRADESH,419,ANAKAPALLE,GEN,3,SMT. THOTA VIJAYA LAKSHMI,INC,2
Lok Sabha,2014,GUJARAT,526,ANAND,GEN,2,BHARATBHAI MADHAVSINH SOLANKI,INC,44
Lok Sabha,2014,PUNJAB,812,ANANDPUR SAHIB,GEN,2,AMBIKA SONI,INC,30
Lok Sabha,2014,ANDHRA PRADESH,377,ANANTAPUR,GEN,3,P. ANIL CHOWDARY,INC,1
Lok Sabha,2014,ANDAMAN & NICOBAR ISLANDS,213,ANDAMAN & NICOBAR ISLANDS,GEN,2,KULDEEP RAI SHARMA,INC,44
Lok Sabha,2014,UTTAR PRADESH,760,AONLA,GEN,4,SALEEM IQBAL SHERVANI,INC,9
Lok Sabha,2014,TAMIL NADU,362,ARAKKONAM,GEN,4,"RAJESH, R",INC,5
Lok Sabha,2014,ANDHRA PRADESH,441,ARAKU,ST,3,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,INC,6
Lok Sabha,2014,WEST BENGAL,542,ARAMBAG,SC,4,SAMBHUNATH MALIK,INC,2
